Professor Name,Professor Link,Research Interests,Paper Name,Description
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Cache-oblivious B-trees,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",High-performance streaming dictionary,"A method, apparatus and computer program product for storing data in a disk storage system is presented. A high-performance dictionary data structure is defined. The dictionary data structure is stored on a disk storage system. Key-value pairs can be inserted and deleted into the dictionary data structure. Updates run faster than one insertion per disk-head movement. The structure can also be stored on any system with two or more levels of memory. The dictionary is high performance and supports with full transactional semantics, concurrent access from multiple transactions, and logging and recovery. Keys can be looked up with only a logarithmic number of transfers, even for keys that have been recently inserted or deleted. Queries can be performed on ranges of key-value pairs, including recently inserted or deleted pairs, at a constant fraction of the bandwidth of the disk."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",The level ancestor problem simplified,Description not available
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",On the approximability of numerical taxonomy (fitting distances by tree metrics),"We consider the problem of fitting an n × n distance matrix D by a tree metric T. Let be the distance to the closest tree metric under the norm; that is, . First we present an O(n2 ) algorithm for finding a tree metric T such that . Second we show that it is -hard to find a tree metric T such that . This paper presents the first algorithm for this problem with a performance guarantee."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",A robust model for finding optimal evolutionary trees,"Constructing evolutionary trees for species sets is a fundamental problem in computational biology. One of the standard models assumes the ability to compute distances between every pair of species and seeks to find an edge-weighted tree T in which the distance@ j in the tree between the leaves of T corresponding to the species i and j fits the observed distance, dij. Sometimes the desired tree is ultrarnetric, so that the tree can be rooted with the root equidistant to each leaf. Many measures for evaluating the “fit” between a distance function d and the path-distance# have been proposed, and most such measures have resulted in NP-hard optimization problems, In this paper we propose a measure of fit which models the inaccuracy in the data, and present several problems for constructing additive and ultrametric trees using this measure, Many of the resultant optimization problems are NP-hard, and one (finding …"
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Two simplified algorithms for maintaining order in a list,"In the Order-Maintenance Problem, the objective is to maintain a total order subject to insertions, deletions, and precedence queries. Known optimal solutions, due to Dietz and Sleator, are complicated. We present new algorithms that match the bounds of Dietz and Sleator. Our solutions are simple, and we present experimental evidence that suggests that they are superior in practice."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Cache-oblivious streaming B-trees,"A streaming B-tree is a dictionary that efficiently implements insertions and range queries. We present two cache-oblivious streaming B-trees, the shuttle tree, and the cache-oblivious lookahead array (COLA)."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Cache-oblivious B-trees,"This paper presents two dynamic search trees attaining near-optimal performance on any hierarchical memory. The data structures are independent of the parameters of the memory hierarchy, e.g., the number of memory levels, the block-transfer size at each level, and the relative speeds of memory levels. The performance is analyzed in terms of the number of memory transfers between two memory levels with an arbitrary block-transfer size of B; this analysis can then be applied to every adjacent pair of levels in a multilevel memory hierarchy. Both search trees match the optimal search bound of memory transfers. This bound is also achieved by the classic B-tree data structure on a two-level memory hierarchy with a known block-transfer size B. The first search tree supports insertions and deletions in amortized memory transfers, which matches the B-tree's worst-case bounds. The second search …"
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",{BetrFS}: A {Right-Optimized}{Write-Optimized} file system,"The B ε-tree File System, or BetrFS,(pronounced “better eff ess”) is the first in-kernel file system to use a write-optimized index. Write optimized indexes (WOIs) are promising building blocks for storage systems because of their potential to implement both microwrites and large scans efficiently."
Martin Farach-Colton,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao,"Algorithms, Data Structures, External Memory, Storage Systems",Optimal superprimitivity testing for strings,"A string w covers another string z if every position of z is within some occurrence of w in z. Clearly, every string is covered by itself. A string that is covered only by itself is superprimitive. We show that the property of being superprimitive is testable on a string of n symbols in O(n) time and space."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Minkowski-type theorems and least-squares clustering,"Dissecting Euclidean d -space with the power diagram of n weighted point sites partitions a given m -point set into clusters, one cluster for each region of the diagram. In this manner, an assignment of points to sites is induced. We show the equivalence of such assignments to constrained Euclidean least-squares assignments. As a corollary, there always exists a power diagram whose regions partition a given d -dimensional m -point set into clusters of prescribed sizes, no matter where the sites are placed. Another consequence is that constrained least-squares assignments can be computed by finding suitable weights for the sites. In the plane, this takes roughly O(n 2 m) time and optimal space O(m) , which improves on previous methods. We further show that a constrained least-squares assignment can be computed by solving a specially structured linear program in n+1 dimensions …"
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms","Fréchet distance for curves, revisited","We revisit the problem of computing the Fréchet distance between polygonal curves, focusing on the discrete Fréchet distance, where only distance between vertices is considered. We develop efficient approximation algorithms for two natural classes of curves: κ-bounded curves and backbone curves, the latter of which are widely used to model molecular structures. We also propose a pseudo–output-sensitive algorithm for computing the discrete Fréchet distance exactly. The complexity of the algorithm is a function of the complexity of the free-space boundary, which is quadratic in the worst case, but tends to be lower in practice."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Small-size ε-nets for axis-parallel rectangles and boxes,"We show the existence of ε-nets of size O(1/ε log log 1/ε) for planar point sets and axis-parallel rectangular ranges. The same bound holds for points in the plane with ""fat"" triangular ranges, and for point sets in reals3 and axis-parallel boxes; these are the first known non-trivial bounds for these range spaces. Our technique also yields improved bounds on the size of ε-nets in the more general context considered by Clarkson and Varadarajan. For example, we show the existence of ε-nets of size"
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",On approximating the depth and related problems,"We study the question of finding a deepest point in an arrangement of regions and provide a fast algorithm for this problem using random sampling, showing it sufficient to solve this problem when the deepest point is shallow. This implies, among other results, a fast algorithm for approximately solving linear programming problems with violations. We also use this technique to approximate the disk covering the largest number of red points, while avoiding all the blue points, given two such sets in the plane. Using similar techniques implies that approximate range counting queries have roughly the same time and space complexity as emptiness range queries."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Quasi-planar graphs have a linear number of edges,A graph is calledquasi-planar if it can be drawn in the plane so that no three of its edges are pairwise crossing. It is shown that the maximum number of edges of a quasi-planar graph withn vertices isO(n).
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",On compatible triangulations of simple polygons,"It is well known that, given two simple n-sided polygons, it may not be possible to triangulate the two polygons in a compatible fashion, if one's choice of triangulation vertices is restricted to polygon corners. Is it always possible to produce compatible triangulations if additional vertices inside the polygon are allowed? We give a positive answer and construct a pair of such triangulations with O(n2) new triangulation vertices. Moreover, we show that there exists a ‘universal’ way of triangulating an n-sided polygon with O(n2) extra triangulation vertices. Finally, we also show that creating compatible triangulations requires a quadratic number of extra vertices in the worst case."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Star unfolding of a polytope with applications,"We introduce the notion of a star unfolding of the surface of a three-dimensional convex polytope with n vertices, and use it to solve several problems related to shortest paths on ."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",On the geodesic Voronoi diagram of point sites in a simple polygon,"Given a simple polygon with n sides in the plane and a set of k point “sites” in its interior or on the boundary, compute the Voronol diagram of the set of sites using the internal “geodesic” distance inside the polygon as the metric. We describe an Ο((n+k) log2(n+k)) time algorithm for solving this problem and sketch a faster Ο((n+k) log(n+k)) algorithm for the case when the set of sites includes all reflex vertices of the polygon in question."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms","On levels in arrangements of lines, segments, planes, and triangles","We consider the problem of bounding the complexity of the k-th level in an arrangement of n curves or surfaces, a problem dual to, and extending, the well-known k-set problem.(a) We review sad simplifi some old proofs in new dwguise and give new proofs of the bound O (n~) for the complexity of the k-th level in an arrangement of n lines.(b) We derive an improved version of Lcn% azLemma in any dimension, and use it to prove a new bound, 0 (n2k2/3), on the complexity of the k-th level in an mangement of n planes in lR3, or on the number of k-sets in a set of n points in three dimensions.(c) We show that the complexity of any single level in an arrangement of n line segments in the plane is O (n312), and that the complexity of any single level in an arrangement of n triangles in 3-space is O (n17’6)."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Nearest-neighbor searching under uncertainty II,"Nearest-neighbor search, which returns the nearest neighbor of a query point in a set of points, is an important and widely studied problem in many fields, and it has a wide range of applications. In many of them, such as sensor databases, location-based services, face recognition, and mobile data, the location of data is imprecise. We therefore study nearest-neighbor queries in a probabilistic framework in which the location of each input point is specified as a probability distribution function. We present efficient algorithms for (i) computing all points that are nearest neighbors of a query point with nonzero probability and (ii) estimating the probability of a point being the nearest neighbor of a query point, either exactly or within a specified additive error."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Nonoverlap of the star unfolding,"A new way of organizing the set of all shortest paths from a fixed point z on the surface P of a (convex) polytope was introduced by Agarwal et al in [AAOS90] and by Chen and Han in [CH90], independently and simultaneously. The main idea already appears in Aleksandrov’s work forty years ago, although he uses it only to show that P can be triangulated. 1 We will follow[AAOS90] and refer to this structure as the star unfolding of a polytope, so called because of the“star-like” appearance of the planar unfolding of the paths. 2 The star unfolding may be obtained by cutting the polytope along the shortest paths from z to each vertex of P, and flattening the surface on the plane. The star unfolding contrasts with the source unjcdding [SS86], which simply lays out all shortest paths around the source z. In comparison, the star unfolding arranges the paths around their destinations, the ends opposite z. These notions will be …"
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Triangles in space or building (and analyzing) castles in the air,"We show that the combinatorial complexity of all non-convex cells in an arrangement of n (possibly intersecting) triangles in 3-space is Ο(n7/3+δ), for any δ>0, and that this bound is almost tight in the worst case. Our bound significantly improves a previous nearly cubic bound of Pach and Sharir. We also present a (nearly) worst-case optimal randomized algorithm for calculating a single cell of the arrangement, analyze some special cases of the problem where improved bounds (and better algorithms) can be obtained, and describe applications of our results to translational motion planning for polyhedra in 3-space."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Computing envelopes in four dimensions with applications,"Let F be a collection of n d-variate, possibly partially defined, functions, all algebraic of some constant maximum degree. We present a randomized algorithm that computes the vertices, edges, and 2-faces of the lower envelope (i.e., pointwise minimum) of F in expected time O(nd+ϵ), for any ϵ>0. For d=3, by combining this algorithm with the point location technique of Preparata and Tamassia, we can compute, in randomized expected time O(n3+ϵ) for any ϵ>0, a data structure of size O(n3+ϵ) that, given any query point q, can determine in O(log2n) time whether q lies above, below or on the envelope. As a consequence, we obtain improved algorithmic solutions to many problems in computational geometry, including (a) computing the width of a point set in 3-space, (b) computing the biggest stick in a simple polygon in the plane, and (c) computing the smallest-width annulus covering a planar point set. The …"
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Selecting distances in the plane,"We describe a randomized algorithm for computing the kth smallest distance in a set of n points in the plane, based on the parametric search technique of Megiddo [Me1]. The expected running time of our algorithm is Ο(n4/3 log 8/3 n). A deterministic version of our procedure runs in time Ο(n3/2 log5/2 n). Both versions improve the previously best known upper bound of Ο(n9/5 log4/5 n) by Chazelle [Ch]. A simple Ο(n log n) time algorithm for computing an approximation of the median distance is also presented."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Can visibility graphs be represented compactly?,"We consider the problem of representing the visibility graph of line segments as a union of cliques and bipartite cliques. Given a graph G, a family G={G1,G2,...,Gk} is called a clique cover of G if (i) each Gi is a clique or a bipartite clique, and (ii) the union of Gi is G. The size of the clique cover G is defined as Σki=1 ni, where ni is the number of vertices in Gi. Our main result is that there exist visibility graphs of n nonintersecting line segments in the plane whose smallest clique cover has size Ω(n2/log2n. An upper bound of 0(n2/log n) on the clique cover follows from a well-known result in extremal graph theory. On the other hand, we show that the visibility graph of a simple polygon always admits a clique cover of size O(n log3 n), and that there are simple polygons whose visibility graphs require a clique cover of size Ω(n log n)."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Crossing families,"Given n points in the plane, a crossing family is a collection of line segments, each joining two of the points, such that any two line segments intersect internally. We show that any n points in general position possess a crossing family of size at least~, and describe an O (n log n)-time algorithm for finding one."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Line transversals of balls and smallest enclosing cylinders in three dimensions,"We establish a near-cubic upper bound on the complexity of the space of line transversals of a collection of n balls in three dimensions, and show that the bound is almost tight, in the worst case. We apply this bound to obtain a near-cubic algorithm for computing a smallest infinite cylinder enclosing a given set of points or balls in 3-space. We also present an approximation algorithm for computing a smallest enclosing cylinder."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",On the zone of a surface in a hyperplane arrangement,"LetH be a collection ofn hyperplanes in ℝ d , letA denote the arrangement ofH, and let σ be a (d−1)-dimensional algebraic surface of low degree, or the boundary of a convex set in ℝ d . Thezone of σ inA is the collection of cells ofA crossed by σ. We show that the total number of faces bounding the cells of the zone of σ isO(n d−1 logn). More generally, if σ has dimensionp, 0≤p<d, this quantity isO(n [(d+p)/2]) ford−p even andO(n [(d+p)/2] logn) ford−p odd. These bounds are tight within a logarithmic factor."
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Points and triangles in the plane and halving planes in space,We prove that for any set S of n points in the plane and n3-α triangles spanned by the points of S there exists a point (not necessarily of S) contained in at least n3-3α/(512 log5 n) of the triangles. This implies that any set of n points in three-dimensional space defines at most 6.4n8/3 log5/3 n halving planes.
Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en,"Computational Geometry, Combinatorial Geometry, Discrete Geometry, Algorithms",Motion planning for multiple robots,"11’~ study the motion-planning problem for pairs and tripIes of robots operating in a shared workspace containing n obstacles. A standard way to solve such problems is to view the collection of robots as one composite robot, whose number of degrees of freedom is d, bhe sum of Bhe numbers of dcgrrcs of freedom of t. he individual robots. We shorn that, it is sufficient to consider a constant number of robot systcms whose number of degrees of freedom is at most (I-1 for pairs of robots, and d-2 for t. riples.(For triples: ve need to assume that a solution with positive clearance esists.) R7e use this to obtain an O (nd) time algorithm to solve the motion-planning problem for a pair of robots; t. his is one order of magnitude faster t. han what the standard method would give. For a triple of robots the running t, irne bl; comes O (nd-‘), v&i h. t c 1s mo orders of magnitude faster than the standard method. We also apply our method …"
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Deep convolutional neural networks and data augmentation for environmental sound classification,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",A dataset and taxonomy for urban sound research,"Automatic urban sound classification is a growing area of research with applications in multimedia retrieval and urban informatics. In this paper we identify two main barriers to research in this area - the lack of a common taxonomy and the scarceness of large, real-world, annotated data. To address these issues we present a taxonomy of urban sounds and a new dataset, UrbanSound, containing 27 hours of audio with 18.5 hours of annotated sound event occurrences across 10 sound classes. The challenges presented by the new dataset are studied through a series of experiments using a baseline classification system."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",A tutorial on onset detection in music signals,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Medleydb: A multitrack dataset for annotation-intensive mir research.,"We introduce MedleyDB: a dataset of annotated, royaltyfree multitrack recordings. The dataset was primarily developed to support research on melody extraction, addressing important shortcomings of existing collections. For each song we provide melody f0 annotations as well as instrument activations for evaluating automatic instrument recognition. The dataset is also useful for research on tasks that require access to the individual tracks of a song such as source separation and automatic mixing. In this paper we provide a detailed description of MedleyDB, including curation, annotation, and musical content. To gain insight into the new challenges presented by the dataset, we run a set of experiments using a state-of-the-art melody extraction algorithm and discuss the results. The dataset is shown to be considerably more challenging than the current test sets used in the MIREX evaluation campaign, thus opening new research avenues in melody extraction research."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Crepe: A convolutional representation for pitch estimation,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing","Look, listen, and learn more: Design choices for deep audio embeddings",Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",A Robust Mid-Level Representation for Harmonic Content in Music Signals.,"When considering the problem of audio-to-audio matching, determining musical similarity using low-level features such as Fourier transforms and MFCCs is an extremely difficult task, as there is little semantic information available. Full semantic transcription of audio is an unreliable and imperfect task in the best case, an unsolved problem in the worst. To this end we propose a robust mid-level representation that incorporates both harmonic and rhythmic information, without attempting full transcription. We describe a process for creating this representation automatically, directly from multi-timbral and polyphonic music signals, with an emphasis on popular music. We also offer various evaluations of our techniques. Moreso than most approaches working from raw audio, we incorporate musical knowledge into our assumptions, our models, and our processes. Our hope is that by utilizing this notion of a musically-motivated mid-level representation we may help bridge the gap between symbolic and audio research."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing","Sonyc: A system for monitoring, analyzing, and mitigating urban noise pollution","SONYC integrates sensors, machine listening, data analytics, and citizen science to address noise pollution in New York City."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Deep Salience Representations for F0 Estimation in Polyphonic Music.,Background
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Unsupervised feature learning for urban sound classification,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",On the use of phase and energy for musical onset detection in the complex domain,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Scaper: A library for soundscape synthesis and augmentation,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Wav2clip: Learning robust audio representations from clip,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Complex domain onset detection for musical signals,We present a novel method for onset detection in musical signals. It improves over previous energy-based and phase-based approaches by combining both types of information in the complex domain. It generates a detection function that is sharp at the position of onsets and smooth everywhere else. Results on a handlabelled data-set show that high detection rates can be achieved at very low error rates. The approach is more robust than its predecessors both theoretically and practically.
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Moving beyond feature design: Deep architectures and automatic feature learning in music informatics.,"The short history of content-based music informatics research is dominated by hand-crafted feature design, and our community has grown admittedly complacent with a few de facto standards. Despite commendable progress in many areas, it is increasingly apparent that our efforts are yielding diminishing returns. This deceleration is largely due to the tandem of heuristic feature design and shallow processing architectures. We systematically discard hopefully irrelevant information while simultaneously calling upon creativity, intuition, or sheer luck to craft useful representations, gradually evolving complex, carefully tuned systems to address specific tasks. While other disciplines have seen the benefits of deep learning, it has only recently started to be explored in our field. By reviewing deep architectures and feature learning, we hope to raise awareness in our community about alternative approaches to solving MIR challenges, new and old alike."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",Adaptive pooling operators for weakly labeled sound event detection,Description not available
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",A software framework for musical data augmentation.,"Predictive models for music annotation tasks are practically limited by a paucity of well-annotated training data. In the broader context of large-scale machine learning, the concept of “data augmentation”—supplementing a training set with carefully perturbed samples—has emerged as an important component of robust systems. In this work, we develop a general software framework for augmenting annotated musical datasets, which will allow practitioners to easily expand training sets with musically motivated perturbations of both audio and annotations. As a proof of concept, we investigate the effects of data augmentation on the task of recognizing instruments in mixed signals."
Juan P Bello,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en,"Music Information Retrieval, Machine Listening, Audio Signal Processing",The implementation of low-cost urban acoustic monitoring devices,"The urban sound environment of New York City (NYC) can be, amongst other things: loud, intrusive, exciting and dynamic. As indicated by the large majority of noise complaints registered with the NYC 311 information/complaints line, the urban sound environment has a profound effect on the quality of life of the city’s inhabitants. To monitor and ultimately understand these sonic environments, a process of long-term acoustic measurement and analysis is required. The traditional method of environmental acoustic monitoring utilizes short term measurement periods using expensive equipment, setup and operated by experienced and costly personnel. In this paper a different approach is proposed to this application which implements a smart, low-cost, static, acoustic sensing device based around consumer hardware. These devices can be deployed in numerous and varied urban locations for long periods of time …"
